# Wavelength (nm), Re(sigma) (S), Im(sigma) (S)
4.000000000000000000e+02,8.184337590853786912e-21,6.553017177356729507e-19
4.012512512512512330e+02,8.238225691249510503e-21,6.564291337851982582e-19
4.025025025025025229e+02,8.292437041385646216e-21,6.575604309933106128e-19
4.037537537537537560e+02,8.346974028249655993e-21,6.586956294107329097e-19
4.050050050050049890e+02,8.401839060270239915e-21,6.598347492263638879e-19
4.062562562562562789e+02,8.457034567545671749e-21,6.609778107684691253e-19
4.075075075075075119e+02,8.512563002074955682e-21,6.621248345058833007e-19
4.087587587587587450e+02,8.568426837991893008e-21,6.632758410492271886e-19
4.100100100100100349e+02,8.624628571801959480e-21,6.644308511521345730e-19
4.112612612612612679e+02,8.681170722622214487e-21,6.655898857124937982e-19
4.125125125125125010e+02,8.738055832424135243e-21,6.667529657737012602e-19
4.137637637637637908e+02,8.795286466279494848e-21,6.679201125259292465e-19
4.150150150150150239e+02,8.852865212609308288e-21,6.690913473074050423e-19
4.162662662662662569e+02,8.910794683435896046e-21,6.702666916057053483e-19
4.175175175175174900e+02,8.969077514638074331e-21,6.714461670590629275e-19
4.187687687687687799e+02,9.027716366209601332e-21,6.726297954576880823e-19
4.200200200200200129e+02,9.086713922520805778e-21,6.738175987451031313e-19
4.212712712712712460e+02,9.146072892583548251e-21,6.750095990194906566e-19
4.225225225225225358e+02,9.205796010319534828e-21,6.762058185350585064e-19
4.237737737737737689e+02,9.265886034831969496e-21,6.774062797034156798e-19
4.250250250250250019e+02,9.326345750680676255e-21,6.786110050949648699e-19
4.262762762762762918e+02,9.387177968160728522e-21,6.798200174403098376e-19
4.275275275275275249e+02,9.448385523584549714e-21,6.810333396316766513e-19
4.287787787787787579e+02,9.509971279567688154e-21,6.822509947243520679e-19
4.300300300300300478e+02,9.571938125318153438e-21,6.834730059381340467e-19
4.312812812812812808e+02,9.634288976929485794e-21,6.846993966588014266e-19
4.325325325325325139e+02,9.697026777677571982e-21,6.859301904395964109e-19
4.337837837837838038e+02,9.760154498321252865e-21,6.871654110027246737e-19
4.350350350350350368e+02,9.823675137406784345e-21,6.884050822408710674e-19
4.362862862862862698e+02,9.887591721576232912e-21,6.896492282187317955e-19
4.375375375375375597e+02,9.951907305879801298e-21,6.908978731745623796e-19
4.387887887887887928e+02,1.001662497409221363e-20,6.921510415217431507e-19
4.400400400400400258e+02,1.008174783903321423e-20,6.934087578503620754e-19
4.412912912912913157e+02,1.014727904289214403e-20,6.946710469288139518e-19
4.425425425425425487e+02,1.021322175755675393e-20,6.959379337054156863e-19
4.437937937937937818e+02,1.027957918494635010e-20,6.972094433100432384e-19
4.450450450450450717e+02,1.034635455734919282e-20,6.984856010557820464e-19
4.462962962962963047e+02,1.041355113776429635e-20,6.997664324405971933e-19
4.475475475475475378e+02,1.048117222024778342e-20,7.010519631490229292e-19
4.487987987987987708e+02,1.054922113026366021e-20,7.023422190538692379e-19
4.500500500500500607e+02,1.061770122503927836e-20,7.036372262179481439e-19
4.513013013013012937e+02,1.068661589392534842e-20,7.049370108958161017e-19
4.525525525525525836e+02,1.075596855876087349e-20,7.062415995355418063e-19
4.538038038038038167e+02,1.082576267424267049e-20,7.075510187804865233e-19
4.550550550550550497e+02,1.089600172829997558e-20,7.088652954711090702e-19
4.563063063063062827e+02,1.096668924247383726e-20,7.101844566467877464e-19
4.575575575575575726e+02,1.103782877230166748e-20,7.115085295476650847e-19
4.588088088088088057e+02,1.110942390770680152e-20,7.128375416165108039e-19
4.600600600600600387e+02,1.118147827339330016e-20,7.141715205006071976e-19
4.613113113113113286e+02,1.125399552924596677e-20,7.155104940536539753e-19
4.625625625625625617e+02,1.132697937073574357e-20,7.168544903376965996e-19
4.638138138138137947e+02,1.140043352933050192e-20,7.182035376250741720e-19
4.650650650650650846e+02,1.147436177291135921e-20,7.195576644003899480e-19
4.663163163163163176e+02,1.154876790619454171e-20,7.209168993625041930e-19
4.675675675675675507e+02,1.162365577115896967e-20,7.222812714265496683e-19
4.688188188188188406e+02,1.169902924747959303e-20,7.236508097259696498e-19
4.700700700700700736e+02,1.177489225296650193e-20,7.250255436145775176e-19
4.713213213213213066e+02,1.185124874401011750e-20,7.264055026686433088e-19
