# wavelength(um), Re_sigma(S), Im_sigma(S)
2.999999999999999889e-01,5.287033333689830769e-04,9.353543657740014496e-05
3.009999999999999898e-01,5.308850959435287668e-04,9.298510230561453295e-05
3.019999999999999907e-01,5.332055956765820908e-04,9.229786693269284342e-05
3.029999999999999916e-01,5.356527549289982889e-04,9.145531512390407377e-05
3.039999999999999925e-01,5.382127154135018122e-04,9.043967038221384478e-05
3.049999999999999933e-01,5.408687891606993661e-04,8.923356001973179125e-05
3.059999999999999942e-01,5.436010053472824059e-04,8.782002864939124570e-05
3.069999999999999951e-01,5.463866486354032517e-04,8.618322495691691616e-05
3.079999999999999960e-01,5.491995839885644272e-04,8.430904775406759550e-05
3.089999999999999969e-01,5.520091997710546315e-04,8.218539007809463545e-05
3.099999999999999978e-01,5.547815867483143907e-04,7.980311100962410873e-05
3.109999999999999987e-01,5.574780528469216404e-04,7.715793876922371394e-05
3.119999999999999996e-01,5.600562082999082118e-04,7.425044497580608228e-05
3.130000000000000004e-01,5.624697678325745517e-04,7.108883998745029094e-05
3.140000000000000013e-01,5.646688891966716384e-04,6.769014543693854487e-05
3.150000000000000022e-01,5.666034164696412672e-04,6.408264400047974832e-05
3.160000000000000031e-01,5.682231566624930614e-04,6.030714340123332202e-05
3.170000000000000040e-01,5.694826916543719664e-04,5.641988948781287601e-05
3.180000000000000049e-01,5.703450562626442713e-04,5.249240690993609623e-05
3.190000000000000058e-01,5.707882194239710964e-04,4.861201049927849072e-05
3.200000000000000067e-01,5.708104454558934632e-04,4.487901242518015603e-05
3.210000000000000075e-01,5.704370423227764957e-04,4.140093665429353130e-05
3.220000000000000084e-01,5.697267273691500452e-04,3.828587453519954415e-05
3.230000000000000093e-01,5.687721060722247292e-04,3.563008250446452607e-05
3.240000000000000102e-01,5.676992178971862566e-04,3.350582438379678729e-05
3.250000000000000111e-01,5.666603198652899343e-04,3.194838616673828215e-05
3.260000000000000120e-01,5.658201094637112889e-04,3.094654819563826188e-05
3.270000000000000129e-01,5.653399847176060564e-04,3.043685328275275867e-05
3.280000000000000138e-01,5.653596856064242596e-04,3.030886171642256449e-05
3.290000000000000147e-01,5.659823203074555026e-04,3.041104428462860433e-05
3.300000000000000155e-01,5.672651689168343612e-04,3.056872669523841101e-05
3.310000000000000164e-01,5.692152904980252431e-04,3.059653150960380224e-05
3.320000000000000173e-01,5.717962755802042307e-04,3.031069443436269114e-05
3.330000000000000182e-01,5.749346576106382882e-04,2.952746739182399510e-05
3.340000000000000191e-01,5.784977658256338934e-04,2.798339799901802282e-05
3.350000000000000200e-01,5.819776751106237782e-04,2.561065492758059613e-05
3.360000000000000209e-01,5.852279670247971652e-04,2.270397515196783422e-05
3.370000000000000218e-01,5.882347255092412047e-04,1.938418537804215000e-05
3.380000000000000226e-01,5.909846020804771817e-04,1.572599935850238400e-05
3.390000000000000235e-01,5.934669997166829849e-04,1.178548980601827277e-05
3.400000000000000244e-01,5.956721383602078378e-04,7.609214988070132293e-06
3.410000000000000253e-01,5.975931526323947831e-04,3.238895258289323561e-06
3.420000000000000262e-01,5.992240609913631992e-04,-1.288662366914778331e-06
3.430000000000000271e-01,6.005620414700805305e-04,-5.939094698632106444e-06
3.439999999999999725e-01,6.016058318042642045e-04,-1.067973214761909918e-05
3.449999999999999734e-01,6.023563322377010728e-04,-1.547950575546497577e-05
3.459999999999999742e-01,6.028169503276246954e-04,-2.030986371430831450e-05
3.469999999999999751e-01,6.029922439484020633e-04,-2.514257239207254950e-05
3.479999999999999760e-01,6.028896040534103802e-04,-2.995209308101745620e-05
3.489999999999999769e-01,6.025178955272838437e-04,-3.471337098354638438e-05
3.499999999999999778e-01,6.018878936973022032e-04,-3.940414150566219289e-05
3.509999999999999787e-01,6.010119265930878845e-04,-4.400294813014448775e-05
3.519999999999999796e-01,5.999031035944729986e-04,-4.849095058693216536e-05
3.529999999999999805e-01,5.985767611089230344e-04,-5.285024154305213799e-05
3.539999999999999813e-01,5.970480741974602216e-04,-5.706552175908332947e-05
3.549999999999999822e-01,5.953344610568073051e-04,-6.112307758550177515e-05
3.559999999999999831e-01,5.934524524661882782e-04,-6.501155556309519390e-05
3.569999999999999840e-01,5.914201399712158778e-04,-6.872054442975252073e-05
3.579999999999999849e-01,5.892553668437009329e-04,-7.224241681183033435e-05
3.589999999999999858e-01,5.869759853590238640e-04,-7.557092793246125370e-05
3.599999999999999867e-01,5.846001315606368489e-04,-7.870200785783506236e-05
3.609999999999999876e-01,5.821455417602185590e-04,-8.163208803907648380e-05
3.619999999999999885e-01,5.796293016316061020e-04,-8.436040721806480915e-05
3.629999999999999893e-01,5.770681767357706835e-04,-8.688722244182691767e-05
3.639999999999999902e-01,5.744789394337816452e-04,-8.921419936907405538e-05
3.649999999999999911e-01,5.718768458784671219e-04,-9.134382378352312235e-05
3.659999999999999920e-01,5.692765411699590673e-04,-9.328003362826433199e-05
3.669999999999999929e-01,5.666924334681214650e-04,-9.502821439390508028e-05
