wl,n,k
0.3,2.475338,2.744236
0.301,2.486076,2.752804
0.302,2.497492,2.761342
0.303,2.509597,2.769776
0.304,2.522396,2.77803
0.305,2.535886,2.786023
0.306,2.550055,2.793668
0.307,2.564882,2.800875
0.308,2.580334,2.807551
0.309,2.596363,2.813598
0.31,2.612907,2.818918
0.311,2.629882,2.823414
0.312,2.647185,2.826992
0.313,2.664687,2.829567
0.314,2.682231,2.831066
0.315,2.699634,2.831441
0.316,2.716684,2.830672
0.317,2.733144,2.828785
0.318,2.74876,2.82586
0.319,2.763274,2.822048
0.32,2.776442,2.817578
0.321,2.788063,2.812761
0.322,2.79801,2.807992
0.323,2.806262,2.803724
0.324,2.812935,2.80044
0.325,2.8183,2.798605
0.326,2.822777,2.798608
0.327,2.826914,2.800706
0.328,2.83133,2.804987
0.329,2.836662,2.811343
0.33,2.843494,2.819489
0.331,2.852311,2.828983
0.332,2.863482,2.839276
0.333,2.877279,2.849728
0.334,2.894023,2.85936
0.335,2.912622,2.866749
0.336,2.931983,2.872272
0.337,2.951779,2.876202
0.338,2.971801,2.878696
0.339,2.991894,2.879869
0.34,3.011929,2.879812
0.341,3.031796,2.878609
0.342,3.051399,2.876332
0.343,3.070655,2.873053
0.344,3.089488,2.868842
0.345,3.10783,2.863769
0.346,3.125624,2.857903
0.347,3.142815,2.851314
0.348,3.15936,2.844072
0.349,3.175219,2.836249
0.35,3.190362,2.827915
0.351,3.204763,2.819142
0.352,3.218403,2.809998
0.353,3.231269,2.800555
0.354,3.243353,2.790879
0.355,3.254655,2.781039
0.356,3.265178,2.771097
0.357,3.27493,2.761118
0.358,3.283925,2.751161
0.359,3.29218,2.741283
0.36,3.299718,2.731538
0.361,3.306562,2.721979
0.362,3.312741,2.712652
0.363,3.318286,2.703601
0.364,3.323232,2.694868
0.365,3.327613,2.68649
0.366,3.331466,2.6785
0.367,3.334832,2.670928
0.368,3.337749,2.6638
0.369,3.340258,2.65714
0.37,3.342402,2.650966
0.371,3.344222,2.645295
0.372,3.34576,2.640138
0.373,3.347057,2.635507
0.374,3.348154,2.631407
0.375,3.349094,2.627842
0.376,3.349915,2.624812
0.377,3.350658,2.622316
0.378,3.35136,2.62035
0.379,3.352059,2.618905
0.38,3.352792,2.617974
0.381,3.353592,2.617545
0.382,3.354494,2.617605
0.383,3.35553,2.618138
0.384,3.356729,2.619128
0.385,3.358122,2.620555
0.386,3.359734,2.6224
0.387,3.361593,2.624642
0.388,3.363721,2.627257
0.389,3.36614,2.630221
0.39,3.368871,2.633509
0.391,3.371933,2.637095
0.392,3.37534,2.640953
0.393,3.379109,2.645054
0.394,3.383251,2.649371
0.395,3.387778,2.653875
