Wavelength(um),R_with,R_without
0.4,0.126742,0.0247582
0.401001,0.127207,0.0248049
0.402002,0.127485,0.0248634
0.403002,0.127553,0.024933
0.404003,0.127391,0.0250133
0.405004,0.126976,0.0251035
0.406005,0.126289,0.025203
0.407006,0.125314,0.0253109
0.408006,0.124041,0.0254266
0.409007,0.122464,0.0255494
0.410008,0.120583,0.0256783
0.411009,0.118406,0.0258127
0.41201,0.115944,0.0259518
0.41301,0.113216,0.0260948
0.414011,0.110244,0.026241
0.415012,0.107054,0.0263896
0.416013,0.103675,0.02654
0.417014,0.100139,0.0266914
0.418014,0.0964758,0.0268432
0.419015,0.0927162,0.0269948
0.420016,0.0888893,0.0271456
0.421017,0.0850219,0.0272951
0.422018,0.0811381,0.0274426
0.423018,0.0772587,0.0275879
0.424019,0.0734011,0.0277303
0.42502,0.0695795,0.0278696
0.426021,0.0658046,0.0280053
0.427022,0.0620846,0.0281372
0.428022,0.0584251,0.0282649
0.429023,0.0548299,0.0283883
0.430024,0.0513014,0.0285072
0.431025,0.0478415,0.0286213
0.432026,0.0444517,0.0287306
0.433026,0.041134,0.0288349
0.434027,0.0378911,0.0289343
0.435028,0.0347267,0.0290286
0.436029,0.031646,0.029118
0.43703,0.0286552,0.0292024
0.43803,0.0257621,0.0292818
0.439031,0.0229756,0.0293564
0.440032,0.0203058,0.0294263
0.441033,0.0177632,0.0294916
0.442034,0.0153592,0.0295525
0.443034,0.0131047,0.0296091
0.444035,0.0110108,0.0296616
0.445036,0.00908757,0.0297101
0.446037,0.00734432,0.0297549
0.447038,0.00578899,0.0297963
0.448038,0.004428,0.0298343
0.449039,0.00326613,0.0298693
0.45004,0.00230638,0.0299015
0.451041,0.00154995,0.0299311
0.452042,0.000996266,0.0299583
0.453042,0.000643112,0.0299834
0.454043,0.000486752,0.0300066
0.455044,0.000522133,0.0300282
0.456045,0.000743118,0.0300483
0.457046,0.00114272,0.0300672
0.458046,0.00171338,0.0300852
0.459047,0.00244717,0.0301023
0.460048,0.00333608,0.0301189
0.461049,0.00437218,0.0301352
0.46205,0.00554783,0.0301513
0.46305,0.0068558,0.0301674
0.464051,0.00828936,0.0301837
0.465052,0.00984236,0.0302004
0.466053,0.0115092,0.0302176
0.467054,0.0132849,0.0302354
0.468054,0.0151648,0.030254
0.469055,0.0171448,0.0302736
0.470056,0.019221,0.0302942
0.471057,0.0213895,0.030316
0.472058,0.0236467,0.030339
0.473058,0.0259885,0.0303633
0.474059,0.0284108,0.030389
0.47506,0.0309088,0.0304162
0.476061,0.0334773,0.030445
0.477062,0.0361107,0.0304752
0.478062,0.0388023,0.0305071
0.479063,0.041545,0.0305407
0.480064,0.044331,0.0305759
0.481065,0.0471518,0.0306127
0.482066,0.0499983,0.0306512
0.483066,0.0528608,0.0306914
0.484067,0.0557295,0.0307333
0.485068,0.058594,0.0307767
0.486069,0.0614442,0.0308218
0.48707,0.0642697,0.0308684
0.48807,0.0670605,0.0309166
0.489071,0.0698071,0.0309662
0.490072,0.0725002,0.0310173
0.491073,0.0751316,0.0310698
0.492074,0.0776937,0.0311236
0.493074,0.0801797,0.0311787
0.494075,0.0825841,0.031235
0.495076,0.0849022,0.0312924
0.496077,0.0871307,0.0313508
0.497078,0.0892671,0.0314103
0.498078,0.0913103,0.0314706
0.499079,0.09326,0.0315318
0.50008,0.095117,0.0315938
0.501081,0.0968831,0.0316564
0.502082,0.0985608,0.0317196
0.503082,0.100153,0.0317834
0.504083,0.101664,0.0318475
0.505084,0.103098,0.0319121
0.506085,0.104459,0.0319769
0.507086,0.105751,0.0320418
0.508086,0.10698,0.0321069
0.509087,0.108149,0.0321721
0.510088,0.109263,0.0322372
0.511089,0.110325,0.0323022
0.51209,0.111339,0.032367
0.51309,0.112307,0.0324315
0.514091,0.113232,0.0324957
0.515092,0.114114,0.0325596
0.516093,0.114956,0.0326229
0.517094,0.115756,0.0326857
0.518094,0.116514,0.032748
0.519095,0.117229,0.0328096
0.520096,0.1179,0.0328705
0.521097,0.118523,0.0329307
0.522098,0.119096,0.0329901
0.523098,0.119616,0.0330486
0.524099,0.120079,0.0331063
0.5251,0.120482,0.033163
0.526101,0.12082,0.0332187
0.527102,0.121091,0.0332735
0.528102,0.121289,0.0333272
0.529103,0.121412,0.0333798
0.530104,0.121457,0.0334314
0.531105,0.121419,0.0334818
0.532106,0.121297,0.0335311
0.533106,0.121089,0.0335793
0.534107,0.120793,0.0336262
0.535108,0.120407,0.033672
0.536109,0.119931,0.0337166
0.53711,0.119365,0.03376
0.53811,0.11871,0.0338022
0.539111,0.117967,0.0338431
0.540112,0.117137,0.0338828
0.541113,0.116223,0.0339213
0.542114,0.115227,0.0339586
0.543114,0.114153,0.0339947
0.544115,0.113003,0.0340296
0.545116,0.111783,0.0340633
0.546117,0.110497,0.0340958
0.547118,0.109147,0.0341271
0.548118,0.10774,0.0341573
0.549119,0.10628,0.0341863
0.55012,0.104772,0.0342141
0.551121,0.10322,0.0342409
0.552122,0.101629,0.0342666
0.553122,0.100004,0.0342912
0.554123,0.0983493,0.0343147
0.555124,0.0966691,0.0343372
0.556125,0.0949674,0.0343587
0.557126,0.0932481,0.0343792
0.558127,0.0915147,0.0343988
0.559127,0.0897704,0.0344174
0.560128,0.0880183,0.0344351
0.561129,0.0862609,0.0344519
0.56213,0.0845006,0.0344678
0.563131,0.0827394,0.034483
0.564131,0.0809791,0.0344973
0.565132,0.0792212,0.0345108
0.566133,0.0774669,0.0345236
0.567134,0.0757172,0.0345357
0.568135,0.0739729,0.0345471
0.569135,0.0722345,0.0345578
0.570136,0.0705026,0.0345678
0.571137,0.0687774,0.0345773
0.572138,0.0670591,0.0345862
0.573139,0.0653478,0.0345945
0.574139,0.0636436,0.0346023
0.57514,0.0619466,0.0346096
0.576141,0.0602568,0.0346164
0.577142,0.0585742,0.0346228
0.578143,0.056899,0.0346287
0.579143,0.0552314,0.0346343
0.580144,0.0535715,0.0346395
0.581145,0.0519198,0.0346443
0.582146,0.0502765,0.0346488
0.583147,0.0486424,0.0346531
0.584147,0.047018,0.034657
0.585148,0.045404,0.0346607
0.586149,0.0438014,0.0346641
0.58715,0.0422112,0.0346674
0.588151,0.0406343,0.0346705
0.589151,0.0390721,0.0346734
0.590152,0.0375258,0.0346761
0.591153,0.0359968,0.0346787
0.592154,0.0344865,0.0346812
0.593155,0.0329963,0.0346836
0.594155,0.031528,0.034686
0.595156,0.0300829,0.0346882
0.596157,0.0286628,0.0346905
0.597158,0.0272692,0.0346927
0.598159,0.0259037,0.0346949
0.599159,0.024568,0.0346971
0.60016,0.0232635,0.0346993
