Wavelength,Transmission
0.4,0.0509942
0.401001,0.0510433
0.402002,0.0511052
0.403002,0.0511793
0.404003,0.0512649
0.405004,0.0513609
0.406005,0.0514668
0.407006,0.0515815
0.408006,0.0517041
0.409007,0.0518338
0.410008,0.0519696
0.411009,0.0521106
0.41201,0.0522558
0.41301,0.0524044
0.414011,0.0525553
0.415012,0.0527078
0.416013,0.052861
0.417014,0.053014
0.418014,0.053166
0.419015,0.0533164
0.420016,0.0534644
0.421017,0.0536093
0.422018,0.0537505
0.423018,0.0538876
0.424019,0.0540199
0.42502,0.054147
0.426021,0.0542687
0.427022,0.0543844
0.428022,0.054494
0.429023,0.0545972
0.430024,0.0546939
0.431025,0.054784
0.432026,0.0548673
0.433026,0.0549439
0.434027,0.0550138
0.435028,0.055077
0.436029,0.0551337
0.43703,0.055184
0.43803,0.0552281
0.439031,0.0552662
0.440032,0.0552985
0.441033,0.0553253
0.442034,0.0553468
0.443034,0.0553634
0.444035,0.0553753
0.445036,0.0553829
0.446037,0.0553864
0.447038,0.0553862
0.448038,0.0553826
0.449039,0.055376
0.45004,0.0553666
0.451041,0.0553548
0.452042,0.0553408
0.453042,0.0553251
0.454043,0.0553078
0.455044,0.0552892
0.456045,0.0552697
0.457046,0.0552494
0.458046,0.0552286
0.459047,0.0552075
0.460048,0.0551864
0.461049,0.0551655
0.46205,0.0551449
0.46305,0.0551248
0.464051,0.0551053
0.465052,0.0550867
0.466053,0.055069
0.467054,0.0550524
0.468054,0.0550369
0.469055,0.0550227
0.470056,0.0550099
0.471057,0.0549984
0.472058,0.0549885
0.473058,0.05498
0.474059,0.0549732
0.47506,0.054968
0.476061,0.0549644
0.477062,0.0549625
0.478062,0.0549623
0.479063,0.0549638
0.480064,0.054967
0.481065,0.0549718
0.482066,0.0549784
0.483066,0.0549866
0.484067,0.0549964
0.485068,0.0550078
0.486069,0.0550209
0.48707,0.0550355
0.48807,0.0550516
0.489071,0.0550692
0.490072,0.0550882
0.491073,0.0551085
0.492074,0.0551303
0.493074,0.0551532
0.494075,0.0551774
0.495076,0.0552027
0.496077,0.0552291
0.497078,0.0552565
0.498078,0.0552848
0.499079,0.055314
0.50008,0.0553439
0.501081,0.0553746
0.502082,0.0554059
0.503082,0.0554376
0.504083,0.0554699
0.505084,0.0555024
0.506085,0.0555353
0.507086,0.0555682
0.508086,0.0556013
0.509087,0.0556344
0.510088,0.0556673
0.511089,0.0557
0.51209,0.0557325
0.51309,0.0557645
0.514091,0.0557961
0.515092,0.0558271
0.516093,0.0558574
0.517094,0.055887
0.518094,0.0559157
0.519095,0.0559436
0.520096,0.0559704
0.521097,0.0559962
0.522098,0.0560208
