Wavelength(um),R_with,R_without
0.4,0.163225,0.0247582
0.401001,0.161942,0.0248049
0.402002,0.160642,0.0248634
0.403002,0.159551,0.024933
0.404003,0.158859,0.0250133
0.405004,0.15871,0.0251035
0.406005,0.159188,0.025203
0.407006,0.160316,0.0253109
0.408006,0.16205,0.0254266
0.409007,0.16429,0.0255494
0.410008,0.166887,0.0256783
0.411009,0.169653,0.0258127
0.41201,0.172376,0.0259518
0.41301,0.17484,0.0260948
0.414011,0.176834,0.026241
0.415012,0.178171,0.0263896
0.416013,0.178699,0.02654
0.417014,0.178306,0.0266914
0.418014,0.176931,0.0268432
0.419015,0.17456,0.0269948
0.420016,0.171229,0.0271456
0.421017,0.167017,0.0272951
0.422018,0.162036,0.0274426
0.423018,0.156427,0.0275879
0.424019,0.150346,0.0277303
0.42502,0.143955,0.0278696
0.426021,0.13741,0.0280053
0.427022,0.130856,0.0281372
0.428022,0.124416,0.0282649
0.429023,0.118189,0.0283883
0.430024,0.112247,0.0285072
0.431025,0.106632,0.0286213
0.432026,0.10136,0.0287306
0.433026,0.096421,0.0288349
0.434027,0.0917876,0.0289343
0.435028,0.0874163,0.0290286
0.436029,0.0832544,0.029118
0.43703,0.0792455,0.0292024
0.43803,0.0753346,0.0292818
0.439031,0.071472,0.0293564
0.440032,0.0676169,0.0294263
0.441033,0.06374,0.0294916
0.442034,0.0598239,0.0295525
0.443034,0.055864,0.0296091
0.444035,0.0518673,0.0296616
0.445036,0.047851,0.0297101
0.446037,0.0438405,0.0297549
0.447038,0.039867,0.0297963
0.448038,0.0359648,0.0298343
0.449039,0.0321694,0.0298693
0.45004,0.028515,0.0299015
0.451041,0.025033,0.0299311
0.452042,0.0217507,0.0299583
0.453042,0.0186903,0.0299834
0.454043,0.015869,0.0300066
0.455044,0.0132988,0.0300282
0.456045,0.0109871,0.0300483
0.457046,0.00893743,0.0300672
0.458046,0.00715014,0.0300852
0.459047,0.00562351,0.0301023
0.460048,0.00435444,0.0301189
0.461049,0.00333928,0.0301352
0.46205,0.00257434,0.0301513
0.46305,0.00205624,0.0301674
0.464051,0.00178202,0.0301837
0.465052,0.00174911,0.0302004
0.466053,0.00195504,0.0302176
0.467054,0.00239708,0.0302354
0.468054,0.00307181,0.030254
0.469055,0.00397464,0.0302736
0.470056,0.00509943,0.0302942
0.471057,0.00643816,0.030316
0.472058,0.00798075,0.030339
0.473058,0.00971505,0.0303633
0.474059,0.011627,0.030389
0.47506,0.0137009,0.0304162
0.476061,0.0159201,0.030445
0.477062,0.0182671,0.0304752
0.478062,0.020725,0.0305071
0.479063,0.0232775,0.0305407
0.480064,0.02591,0.0305759
0.481065,0.0286101,0.0306127
0.482066,0.0313684,0.0306512
0.483066,0.0341783,0.0306914
