Wavelength,Transmission
0.4,0.163225
0.401001,0.161942
0.402002,0.160642
0.403002,0.159551
0.404003,0.158859
0.405004,0.15871
0.406005,0.159188
0.407006,0.160316
0.408006,0.16205
0.409007,0.16429
0.410008,0.166887
0.411009,0.169653
0.41201,0.172376
0.41301,0.17484
0.414011,0.176834
0.415012,0.178171
0.416013,0.178699
0.417014,0.178306
0.418014,0.176931
0.419015,0.17456
0.420016,0.171229
0.421017,0.167017
0.422018,0.162036
0.423018,0.156427
0.424019,0.150346
0.42502,0.143955
0.426021,0.13741
0.427022,0.130856
0.428022,0.124416
0.429023,0.118189
0.430024,0.112247
0.431025,0.106632
0.432026,0.10136
0.433026,0.096421
0.434027,0.0917876
0.435028,0.0874163
0.436029,0.0832544
0.43703,0.0792455
0.43803,0.0753346
0.439031,0.071472
0.440032,0.0676169
0.441033,0.06374
0.442034,0.0598239
0.443034,0.055864
0.444035,0.0518673
0.445036,0.047851
0.446037,0.0438405
0.447038,0.039867
0.448038,0.0359648
0.449039,0.0321694
0.45004,0.028515
0.451041,0.025033
0.452042,0.0217507
0.453042,0.0186903
0.454043,0.015869
0.455044,0.0132988
0.456045,0.0109871
0.457046,0.00893743
0.458046,0.00715014
0.459047,0.00562351
0.460048,0.00435444
0.461049,0.00333928
0.46205,0.00257434
0.46305,0.00205624
0.464051,0.00178202
0.465052,0.00174911
0.466053,0.00195504
0.467054,0.00239708
0.468054,0.00307181
0.469055,0.00397464
0.470056,0.00509943
0.471057,0.00643816
0.472058,0.00798075
0.473058,0.00971505
0.474059,0.011627
0.47506,0.0137009
0.476061,0.0159201
0.477062,0.0182671
0.478062,0.020725
0.479063,0.0232775
0.480064,0.02591
0.481065,0.0286101
0.482066,0.0313684
0.483066,0.0341783
0.484067,0.0370368
0.485068,0.0399444
0.486069,0.0429047
0.48707,0.0459241
0.48807,0.0490113
0.489071,0.0521765
0.490072,0.0554307
0.491073,0.0587846
0.492074,0.0622479
0.493074,0.065828
0.494075,0.0695296
0.495076,0.0733536
0.496077,0.0772966
0.497078,0.0813507
0.498078,0.0855029
0.499079,0.0897353
0.50008,0.0940255
0.501081,0.0983465
0.502082,0.102668
0.503082,0.106956
0.504083,0.111175
0.505084,0.11529
0.506085,0.119262
0.507086,0.123058
0.508086,0.126643
0.509087,0.129989
0.510088,0.133069
0.511089,0.135862
0.51209,0.138354
0.51309,0.140534
0.514091,0.142399
0.515092,0.143954
0.516093,0.145207
0.517094,0.146174
0.518094,0.146877
0.519095,0.147339
0.520096,0.147593
0.521097,0.147671
0.522098,0.147609
0.523098,0.147445
0.524099,0.147215
0.5251,0.146957
0.526101,0.146707
0.527102,0.146498
0.528102,0.146361
0.529103,0.146321
0.530104,0.146401
0.531105,0.14662
0.532106,0.146987
0.533106,0.147512
0.534107,0.148195
0.535108,0.149033
0.536109,0.150018
0.53711,0.151136
0.53811,0.15237
0.539111,0.153698
0.540112,0.155097
0.541113,0.156538
0.542114,0.157994
0.543114,0.159435
0.544115,0.160829
0.545116,0.162146
0.546117,0.163356
0.547118,0.164432
0.548118,0.165346
0.549119,0.166076
0.55012,0.166599
0.551121,0.166897
0.552122,0.166957
0.553122,0.166767
0.554123,0.16632
0.555124,0.165613
0.556125,0.164645
0.557126,0.163421
0.558127,0.161947
0.559127,0.160234
0.560128,0.158296
0.561129,0.156147
0.56213,0.153805
0.563131,0.151291
0.564131,0.148624
0.565132,0.145826
0.566133,0.14292
0.567134,0.139928
0.568135,0.136872
0.569135,0.133774
0.570136,0.130653
0.571137,0.12753
0.572138,0.124421
0.573139,0.121343
0.574139,0.118311
0.57514,0.115336
0.576141,0.112428
0.577142,0.109595
0.578143,0.106844
0.579143,0.104179
0.580144,0.1016
0.581145,0.099109
0.582146,0.0967038
0.583147,0.0943814
0.584147,0.0921373
0.585148,0.0899662
0.586149,0.0878614
0.58715,0.0858159
0.588151,0.083822
0.589151,0.0818717
0.590152,0.0799571
0.591153,0.0780703
0.592154,0.0762034
0.593155,0.0743495
0.594155,0.0725017
0.595156,0.0706541
0.596157,0.0688015
0.597158,0.0669396
0.598159,0.0650649
0.599159,0.0631748
0.60016,0.0612676
0.601161,0.0593428
0.602162,0.0574003
0.603163,0.0554413
0.604163,0.0534675
0.605164,0.0514813
0.606165,0.0494858
0.607166,0.0474846
0.608167,0.0454819
0.609167,0.0434818
0.610168,0.0414892
0.611169,0.0395087
0.61217,0.0375453
0.613171,0.0356038
0.614171,0.0336889
0.615172,0.0318052
0.616173,0.0299572
0.617174,0.0281489
0.618175,0.0263841
0.619175,0.0246663
0.620176,0.0229985
0.621177,0.0213835
0.622178,0.0198236
0.623179,0.0183207
0.624179,0.0168764
0.62518,0.015492
0.626181,0.0141683
0.627182,0.012906
0.628183,0.0117054
0.629183,0.0105666
0.630184,0.00948947
0.631185,0.00847382
0.632186,0.0075192
0.633187,0.00662511
0.634187,0.00579098
0.635188,0.00501617
0.636189,0.00430003
0.63719,0.00364193
0.638191,0.00304121
0.639191,0.00249727
0.640192,0.00200955
0.641193,0.0015775
0.642194,0.00120064
0.643195,0.000878531
0.644195,0.000610751
0.645196,0.000396924
0.646197,0.000236687
0.647198,0.000129685
0.648199,7.55611e-05
0.649199,7.39389e-05
0.6502,0.000124412
0.651201,0.000226529
0.652202,0.000379783
0.653203,0.000583601
0.654203,0.000837329
0.655204,0.00114023
0.656205,0.00149148
0.657206,0.00189015
0.658207,0.00233521
0.659207,0.00282556
0.660208,0.00335998
0.661209,0.00393717
0.66221,0.00455576
0.663211,0.0052143
0.664211,0.00591129
0.665212,0.00664516
0.666213,0.00741434
0.667214,0.00821724
0.668215,0.00905226
0.669215,0.00991781
0.670216,0.0108124
0.671217,0.0117344
0.672218,0.0126825
0.673219,0.0136554
0.674219,0.0146517
0.67522,0.0156703
0.676221,0.0167102
0.677222,0.0177705
0.678223,0.0188504
0.679223,0.0199492
0.680224,0.0210664
0.681225,0.0222017
0.682226,0.0233548
0.683227,0.0245256
0.684227,0.0257141
0.685228,0.0269203
0.686229,0.0281446
0.68723,0.0293872
0.688231,0.0306484
0.689231,0.0319286
0.690232,0.0332284
0.691233,0.0345482
0.692234,0.0358885
0.693235,0.0372496
0.694235,0.0386321
0.695236,0.0400363
0.696237,0.0414625
0.697238,0.0429109
0.698239,0.0443815
0.699239,0.0458743
0.70024,0.0473893
0.701241,0.0489259
0.702242,0.0504839
0.703243,0.0520625
0.704243,0.0536609
0.705244,0.0552782
0.706245,0.0569131
0.707246,0.0585644
0.708247,0.0602304
0.709247,0.0619096
0.710248,0.0636
0.711249,0.0652996
0.71225,0.0670062
0.713251,0.0687176
0.714251,0.0704312
0.715252,0.0721445
0.716253,0.0738549
0.717254,0.0755597
0.718255,0.077256
0.719255,0.0789411
0.720256,0.0806121
0.721257,0.0822661
0.722258,0.0839003
0.723259,0.085512
0.724259,0.0870984
0.72526,0.0886567
0.726261,0.0901845
0.727262,0.0916793
0.728263,0.0931387
0.729263,0.0945606
0.730264,0.0959429
0.731265,0.0972838
0.732266,0.0985815
0.733267,0.0998347
0.734267,0.101042
0.735268,0.102202
0.736269,0.103315
0.73727,0.104379
0.738271,0.105394
0.739271,0.10636
0.740272,0.107277
0.741273,0.108146
0.742274,0.108966
0.743275,0.109739
0.744275,0.110465
0.745276,0.111145
0.746277,0.111781
0.747278,0.112375
0.748279,0.112927
0.749279,0.11344
0.75028,0.113916
0.751281,0.114356
0.752282,0.114763
0.753283,0.11514
0.754283,0.115488
0.755284,0.11581
0.756285,0.116109
0.757286,0.116387
0.758287,0.116647
0.759287,0.116891
0.760288,0.117122
0.761289,0.117343
0.76229,0.117556
0.763291,0.117764
0.764291,0.117969
0.765292,0.118173
0.766293,0.11838
0.767294,0.11859
0.768295,0.118806
0.769295,0.119031
0.770296,0.119265
0.771297,0.119511
0.772298,0.119771
0.773299,0.120044
0.774299,0.120334
0.7753,0.120641
0.776301,0.120966
0.777302,0.12131
0.778303,0.121674
0.779303,0.122057
0.780304,0.12246
0.781305,0.122884
0.782306,0.123329
0.783307,0.123793
0.784307,0.124277
0.785308,0.12478
0.786309,0.125303
0.78731,0.125842
0.788311,0.126399
0.789311,0.126972
0.790312,0.127559
0.791313,0.12816
0.792314,0.128773
0.793315,0.129396
0.794315,0.130028
0.795316,0.130667
0.796317,0.131312
0.797318,0.13196
0.798319,0.132609
0.799319,0.133258
0.80032,0.133905
0.801321,0.134548
0.802322,0.135184
0.803323,0.135812
0.804323,0.13643
0.805324,0.137035
0.806325,0.137625
0.807326,0.138199
0.808327,0.138755
0.809327,0.13929
0.810328,0.139803
0.811329,0.140292
0.81233,0.140755
0.813331,0.141191
0.814331,0.141597
0.815332,0.141973
0.816333,0.142317
0.817334,0.142627
0.818335,0.142903
0.819335,0.143143
0.820336,0.143346
0.821337,0.14351
0.822338,0.143637
0.823339,0.143723
0.824339,0.14377
0.82534,0.143776
0.826341,0.143741
0.827342,0.143664
0.828343,0.143546
0.829343,0.143386
0.830344,0.143185
0.831345,0.142942
0.832346,0.142658
0.833347,0.142333
0.834347,0.141968
0.835348,0.141563
0.836349,0.141118
0.83735,0.140636
0.838351,0.140115
0.839351,0.139558
0.840352,0.138964
0.841353,0.138337
0.842354,0.137675
0.843355,0.136981
0.844355,0.136256
0.845356,0.1355
0.846357,0.134716
0.847358,0.133905
