File,Width (m),Thickness (m),Confinement Factor (1D Y)
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.9786222226176045
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.9783110089317713
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.9824115060120012
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.9750366889496148
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.9778726376359747
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.9762234053378538
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.9746078163808194
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.9881746729763095
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.9684497219765844
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.9728015647527015
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.972339438495349
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.9794911930095261
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.9834089820317073
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.975240712197709
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.9792862222011648
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.9844295088862045
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.9843738988837223
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.9808800065550861
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.9850830913213366
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.9852094134443982
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.9854078811019764
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.9862464159045525
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.9817147682142089
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.9830978842487536
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.9717156389473532
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.985175021864069
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.9676751058119937
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.9701162970618439
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.9799043769087499
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.9801588194163723
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.9834265788375035
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.9731850665003066
