File,Width (m),Thickness (m),Confinement Factor (1D Y)
E_field_data_1.19e-006 6.8e-007.mat,1.19e-06,6.8e-07,0.9953043071265847
E_field_data_1.195e-006 6.75e-007.mat,1.195e-06,6.75e-07,0.9954855601963242
E_field_data_1.215e-006 6.8e-007.mat,1.215e-06,6.8e-07,0.9960408919063111
E_field_data_1.22e-006 6.75e-007.mat,1.22e-06,6.75e-07,0.995938266027847
E_field_data_1.225e-006 6.85e-007.mat,1.225e-06,6.85e-07,0.9957023354523612
E_field_data_1.21e-006 6.75e-007.mat,1.21e-06,6.75e-07,0.9957492857735244
E_field_data_1.205e-006 6.55e-007.mat,1.205e-06,6.55e-07,0.9957191727024848
E_field_data_1.225e-006 6.8e-007.mat,1.225e-06,6.8e-07,0.9958621618525307
E_field_data_1.215e-006 6.55e-007.mat,1.215e-06,6.55e-07,0.9945998612718071
E_field_data_1.21e-006 6.6e-007.mat,1.21e-06,6.6e-07,0.9945792315701171
E_field_data_1.21e-006 6.7e-007.mat,1.21e-06,6.7e-07,0.9959924552098792
E_field_data_1.225e-006 6.55e-007.mat,1.225e-06,6.55e-07,0.9941649700224104
E_field_data_1.195e-006 6.5e-007.mat,1.195e-06,6.5e-07,0.9919276187823596
E_field_data_1.205e-006 6.85e-007.mat,1.205e-06,6.85e-07,0.9957429319296023
E_field_data_1.19e-006 6.65e-007.mat,1.19e-06,6.65e-07,0.9954841705731243
E_field_data_1.205e-006 6.6e-007.mat,1.205e-06,6.6e-07,0.9958839058338084
E_field_data_1.205e-006 6.7e-007.mat,1.205e-06,6.7e-07,0.9965159961494375
E_field_data_1.215e-006 6.85e-007.mat,1.215e-06,6.85e-07,0.9957643859685574
E_field_data_1.195e-006 6.8e-007.mat,1.195e-06,6.8e-07,0.9956279796861609
E_field_data_1.195e-006 6.65e-007.mat,1.195e-06,6.65e-07,0.9957119975196986
E_field_data_1.22e-006 6.6e-007.mat,1.22e-06,6.6e-07,0.9946692119291867
E_field_data_1.22e-006 6.7e-007.mat,1.22e-06,6.7e-07,0.9961027863165749
