File,Width (m),Thickness (m),Confinement Factor (1D Z)
E_field_data_1e-006 5.5e-007.mat,1e-06,5.5e-07,0.7142651001778455
E_field_data_1.4e-006 4e-007.mat,1.4e-06,4e-07,0.6452607721205387
E_field_data_1.4e-006 5e-007.mat,1.4e-06,5e-07,0.7041000518290116
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.7406727092992192
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.7692478642089623
E_field_data_1.2e-006 5.5e-007.mat,1.2e-06,5.5e-07,0.7141355891491393
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.7812437554700831
E_field_data_1.35e-006 4.5e-007.mat,1.35e-06,4.5e-07,0.6819160822833721
E_field_data_1.2e-006 8.5e-007.mat,1.2e-06,8.5e-07,0.8012092358032002
E_field_data_1.25e-006 9e-007.mat,1.25e-06,9e-07,0.8107506213739577
E_field_data_1.25e-006 8e-007.mat,1.25e-06,8e-07,0.7843191926085942
E_field_data_1e-006 8.5e-007.mat,1e-06,8.5e-07,0.8018914025790219
E_field_data_1.35e-006 9.5e-007.mat,1.35e-06,9.5e-07,0.8118988567032039
E_field_data_1.05e-006 1e-006.mat,1.05e-06,1e-06,0.8264208444695271
E_field_data_1.05e-006 9.5e-007.mat,1.05e-06,9.5e-07,0.811675045331309
E_field_data_1e-006 9e-007.mat,1e-06,9e-07,0.8103397039512563
E_field_data_1e-006 8e-007.mat,1e-06,8e-07,0.7845122716114096
E_field_data_1.3e-006 5.5e-007.mat,1.3e-06,5.5e-07,0.7142547465557355
E_field_data_1.1e-006 1e-006.mat,1.1e-06,1e-06,0.8265217538309663
E_field_data_1.2e-006 8e-007.mat,1.2e-06,8e-07,0.7843340354763421
E_field_data_1.2e-006 9e-007.mat,1.2e-06,9e-07,0.8107968955510774
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.7812844187093665
E_field_data_1.35e-006 5e-007.mat,1.35e-06,5e-07,0.7042502636815559
E_field_data_1.35e-006 4e-007.mat,1.35e-06,4e-07,0.6452433430335307
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.7812384046998526
E_field_data_1.3e-006 8.5e-007.mat,1.3e-06,8.5e-07,0.8018889821692102
E_field_data_1.05e-006 4.5e-007.mat,1.05e-06,4.5e-07,0.6820001255087292
E_field_data_1.4e-006 7.5e-007.mat,1.4e-06,7.5e-07,0.7812375652182686
E_field_data_1.3e-006 5e-007.mat,1.3e-06,5e-07,0.7042212829376524
E_field_data_1.3e-006 4e-007.mat,1.3e-06,4e-07,0.645134314352009
E_field_data_1.25e-006 5.5e-007.mat,1.25e-06,5.5e-07,0.7142776938081384
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.7407675478963716
