File,Width (m),Thickness (m),Confinement Factor (1D Z)
E_field_data_1.19e-006 6.8e-007.mat,1.19e-06,6.8e-07,0.6410993369126766
E_field_data_1.195e-006 6.75e-007.mat,1.195e-06,6.75e-07,0.6396962309949242
E_field_data_1.215e-006 6.8e-007.mat,1.215e-06,6.8e-07,0.6414848695737879
E_field_data_1.22e-006 6.75e-007.mat,1.22e-06,6.75e-07,0.6414748714759049
E_field_data_1.225e-006 6.85e-007.mat,1.225e-06,6.85e-07,0.6446998775362869
E_field_data_1.21e-006 6.75e-007.mat,1.21e-06,6.75e-07,0.6411225189818183
E_field_data_1.205e-006 6.55e-007.mat,1.205e-06,6.55e-07,0.6407704299395618
E_field_data_1.225e-006 6.8e-007.mat,1.225e-06,6.8e-07,0.6415557489621698
E_field_data_1.215e-006 6.55e-007.mat,1.215e-06,6.55e-07,0.640774203280969
E_field_data_1.21e-006 6.6e-007.mat,1.21e-06,6.6e-07,0.6407682016393298
E_field_data_1.21e-006 6.7e-007.mat,1.21e-06,6.7e-07,0.6381249959249684
E_field_data_1.225e-006 6.55e-007.mat,1.225e-06,6.55e-07,0.6408729893776988
E_field_data_1.195e-006 6.5e-007.mat,1.195e-06,6.5e-07,0.6565451989884964
E_field_data_1.205e-006 6.85e-007.mat,1.205e-06,6.85e-07,0.6457280099087785
E_field_data_1.19e-006 6.65e-007.mat,1.19e-06,6.65e-07,0.6388650021481953
E_field_data_1.205e-006 6.6e-007.mat,1.205e-06,6.6e-07,0.6407681848055955
E_field_data_1.205e-006 6.7e-007.mat,1.205e-06,6.7e-07,0.638125699758179
E_field_data_1.215e-006 6.85e-007.mat,1.215e-06,6.85e-07,0.645806355841772
E_field_data_1.195e-006 6.8e-007.mat,1.195e-06,6.8e-07,0.6396888290651183
E_field_data_1.195e-006 6.65e-007.mat,1.195e-06,6.65e-07,0.6379421493436527
E_field_data_1.22e-006 6.6e-007.mat,1.22e-06,6.6e-07,0.6407731999278744
E_field_data_1.22e-006 6.7e-007.mat,1.22e-06,6.7e-07,0.6380612478467381
E_field_data_1.2e-006 6.6e-007.mat,1.2e-06,6.6e-07,0.6407660060603403
E_field_data_1.2e-006 6.7e-007.mat,1.2e-06,6.7e-07,0.6379537189322807
E_field_data_1.22e-006 6.65e-007.mat,1.22e-06,6.65e-07,0.6380643178311624
E_field_data_1.225e-006 6.5e-007.mat,1.225e-06,6.5e-07,0.6372284560976011
E_field_data_1.2e-006 6.55e-007.mat,1.2e-06,6.55e-07,0.640770076237508
E_field_data_1.215e-006 6.5e-007.mat,1.215e-06,6.5e-07,0.6372501551893968
E_field_data_1.21e-006 6.65e-007.mat,1.21e-06,6.65e-07,0.6381194899055505
E_field_data_1.2e-006 6.85e-007.mat,1.2e-06,6.85e-07,0.6446995030863297
E_field_data_1.19e-006 6.75e-007.mat,1.19e-06,6.75e-07,0.6411030406503819
E_field_data_1.19e-006 6.5e-007.mat,1.19e-06,6.5e-07,0.6700877039454806
E_field_data_1.22e-006 6.85e-007.mat,1.22e-06,6.85e-07,0.6458278825970712
E_field_data_1.195e-006 6.7e-007.mat,1.195e-06,6.7e-07,0.6379531238914694
E_field_data_1.195e-006 6.6e-007.mat,1.195e-06,6.6e-07,0.640765884436483
E_field_data_1.22e-006 6.8e-007.mat,1.22e-06,6.8e-07,0.6414847163651686
E_field_data_1.205e-006 6.5e-007.mat,1.205e-06,6.5e-07,0.63725080176379
E_field_data_1.195e-006 6.55e-007.mat,1.195e-06,6.55e-07,0.640769920097358
E_field_data_1.22e-006 6.55e-007.mat,1.22e-06,6.55e-07,0.6407741926976342
E_field_data_1.21e-006 6.5e-007.mat,1.21e-06,6.5e-07,0.6372507604426386
E_field_data_1.2e-006 6.8e-007.mat,1.2e-06,6.8e-07,0.6396483668634113
E_field_data_1.195e-006 6.85e-007.mat,1.195e-06,6.85e-07,0.6446985989742432
E_field_data_1.215e-006 6.75e-007.mat,1.215e-06,6.75e-07,0.6414749830356138
E_field_data_1.21e-006 6.55e-007.mat,1.21e-06,6.55e-07,0.6407705031044153
E_field_data_1.2e-006 6.65e-007.mat,1.2e-06,6.65e-07,0.637942809942767
E_field_data_1.205e-006 6.75e-007.mat,1.205e-06,6.75e-07,0.641121563908073
E_field_data_1.225e-006 6.75e-007.mat,1.225e-06,6.75e-07,0.6415550805155776
E_field_data_1.21e-006 6.85e-007.mat,1.21e-06,6.85e-07,0.6457501050872994
E_field_data_1.19e-006 6.7e-007.mat,1.19e-06,6.7e-07,0.6388670412397824
E_field_data_1.19e-006 6.6e-007.mat,1.19e-06,6.6e-07,0.6408523016108099
E_field_data_1.215e-006 6.6e-007.mat,1.215e-06,6.6e-07,0.6407731952460773
E_field_data_1.215e-006 6.7e-007.mat,1.215e-06,6.7e-07,0.6380610057466553
E_field_data_1.215e-006 6.65e-007.mat,1.215e-06,6.65e-07,0.6380641202091034
E_field_data_1.2e-006 6.75e-007.mat,1.2e-06,6.75e-07,0.6396556324468555
E_field_data_1.21e-006 6.8e-007.mat,1.21e-06,6.8e-07,0.641130015631635
E_field_data_1.205e-006 6.65e-007.mat,1.205e-06,6.65e-07,0.6381202441286433
E_field_data_1.19e-006 6.85e-007.mat,1.19e-06,6.85e-07,0.6449093844489088
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.6435630434608135
E_field_data_1.225e-006 6.7e-007.mat,1.225e-06,6.7e-07,0.638085891581507
E_field_data_1.225e-006 6.6e-007.mat,1.225e-06,6.6e-07,0.64087277179676
E_field_data_1.205e-006 6.8e-007.mat,1.205e-06,6.8e-07,0.6411290913786376
E_field_data_1.19e-006 6.55e-007.mat,1.19e-06,6.55e-07,0.6408561468376877
E_field_data_1.225e-006 6.65e-007.mat,1.225e-06,6.65e-07,0.6380903660526798
E_field_data_1.22e-006 6.5e-007.mat,1.22e-06,6.5e-07,0.637250216298882
