File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1e-006 5.5e-007.mat,1e-06,5.5e-07,0.68857637051742
E_field_data_1.4e-006 4e-007.mat,1.4e-06,4e-07,0.6365398042706893
E_field_data_1.4e-006 5e-007.mat,1.4e-06,5e-07,0.6925723820828239
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.719766512861766
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.7467090783201339
E_field_data_1.2e-006 5.5e-007.mat,1.2e-06,5.5e-07,0.6972365873273239
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.7623012227720075
E_field_data_1.35e-006 4.5e-007.mat,1.35e-06,4.5e-07,0.6701637635385801
E_field_data_1.2e-006 8.5e-007.mat,1.2e-06,8.5e-07,0.7798073566774277
E_field_data_1.25e-006 9e-007.mat,1.25e-06,9e-07,0.7906866077826168
E_field_data_1.25e-006 8e-007.mat,1.25e-06,8e-07,0.7666078365990614
E_field_data_1e-006 8.5e-007.mat,1e-06,8.5e-07,0.7708520414914608
E_field_data_1.35e-006 9.5e-007.mat,1.35e-06,9.5e-07,0.796468904125405
E_field_data_1.05e-006 1e-006.mat,1.05e-06,1e-06,0.7956659055822968
E_field_data_1.05e-006 9.5e-007.mat,1.05e-06,9.5e-07,0.7856485407253389
E_field_data_1e-006 9e-007.mat,1e-06,9e-07,0.7786401765017874
E_field_data_1e-006 8e-007.mat,1e-06,8e-07,0.7538730135131957
E_field_data_1.3e-006 5.5e-007.mat,1.3e-06,5.5e-07,0.7010660817587147
E_field_data_1.1e-006 1e-006.mat,1.1e-06,1e-06,0.8009269796529886
E_field_data_1.2e-006 8e-007.mat,1.2e-06,8e-07,0.7651220811614498
E_field_data_1.2e-006 9e-007.mat,1.2e-06,9e-07,0.7897108496025537
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.7560106916920992
E_field_data_1.35e-006 5e-007.mat,1.35e-06,5e-07,0.6918302330946691
