File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.719766512861766
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.7467090783201339
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.7623012227720075
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.7560106916920992
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.7579998377395432
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.7168622146406728
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.7447159458959658
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.6961757602696728
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.7494721407564673
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.7408044379877883
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.714049454796731
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.7609849368825566
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.7641244451490687
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.7229314690680655
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.7250856193789302
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.7248501198658811
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.7522182815018026
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.727315763707569
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.7273148962890187
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.7541227783192557
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.7314776317070923
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.7321682970227433
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.7510420837383535
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.724469610664935
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.7546635622636441
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.7660425947277676
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.7392824770758233
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.7110289678904281
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.721791010781972
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.7488109201856149
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.7295316214799982
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.7180454690677267
