width,thickness,transmission
1.00E-06,6.00E-07,0.997896
1.05E-06,6.00E-07,0.997915
1.10E-06,6.00E-07,0.997935
1.15E-06,6.00E-07,0.997953
1.20E-06,6.00E-07,0.997961
1.25E-06,6.00E-07,0.997964
1.30E-06,6.00E-07,0.997968
1.35E-06,6.00E-07,0.997972
1.00E-06,6.50E-07,0.997952
1.05E-06,6.50E-07,0.997967
1.10E-06,6.50E-07,0.997982
1.15E-06,6.50E-07,0.997994
1.20E-06,6.50E-07,0.998
1.25E-06,6.50E-07,0.998003
1.30E-06,6.50E-07,0.998007
1.35E-06,6.50E-07,0.99801
1.00E-06,7.00E-07,0.99798
1.05E-06,7.00E-07,0.997993
1.10E-06,7.00E-07,0.998007
1.15E-06,7.00E-07,0.998016
1.20E-06,7.00E-07,0.998021
1.25E-06,7.00E-07,0.998024
1.30E-06,7.00E-07,0.99803
1.35E-06,7.00E-07,0.998039
1.00E-06,7.50E-07,0.998013
1.05E-06,7.50E-07,0.998029
1.10E-06,7.50E-07,0.998035
1.15E-06,7.50E-07,0.998041
1.20E-06,7.50E-07,0.998048
1.25E-06,7.50E-07,0.998055
1.30E-06,7.50E-07,0.998063
1.35E-06,7.50E-07,0.998069
