width,thickness,transmission
1.19e-06,6.5e-07,0.998097
1.195e-06,6.5e-07,0.998098
1.2e-06,6.5e-07,0.9981
1.205e-06,6.5e-07,0.9981
1.21e-06,6.5e-07,0.998102
1.215e-06,6.5e-07,0.998101
1.22e-06,6.5e-07,0.998103
1.225e-06,6.5e-07,0.998102
1.19e-06,6.55e-07,0.9981
1.195e-06,6.55e-07,0.998102
1.2e-06,6.55e-07,0.998101
1.205e-06,6.55e-07,0.998103
1.21e-06,6.55e-07,0.998102
1.215e-06,6.55e-07,0.998104
1.22e-06,6.55e-07,0.998103
1.225e-06,6.55e-07,0.998105
1.19e-06,6.6e-07,0.998102
1.195e-06,6.6e-07,0.998102
1.2e-06,6.6e-07,0.998103
1.205e-06,6.6e-07,0.998103
1.21e-06,6.6e-07,0.998105
1.215e-06,6.6e-07,0.998104
1.22e-06,6.6e-07,0.998106
1.225e-06,6.6e-07,0.998105
1.19e-06,6.65e-07,0.998103
1.195e-06,6.65e-07,0.998105
1.2e-06,6.65e-07,0.998104
1.205e-06,6.65e-07,0.998106
1.21e-06,6.65e-07,0.998105
1.215e-06,6.65e-07,0.998108
1.22e-06,6.65e-07,0.998107
1.225e-06,6.65e-07,0.998109
1.19e-06,6.7e-07,0.998105
1.195e-06,6.7e-07,0.998105
1.2e-06,6.7e-07,0.998106
1.205e-06,6.7e-07,0.998106
1.21e-06,6.7e-07,0.998108
1.215e-06,6.7e-07,0.998107
1.22e-06,6.7e-07,0.998109
1.225e-06,6.7e-07,0.998109
1.19e-06,6.75e-07,0.998106
1.195e-06,6.75e-07,0.998109
1.2e-06,6.75e-07,0.998107
1.205e-06,6.75e-07,0.99811
1.21e-06,6.75e-07,0.998109
1.215e-06,6.75e-07,0.998111
1.22e-06,6.75e-07,0.99811
1.225e-06,6.75e-07,0.998113
1.19e-06,6.8e-07,0.998108
1.195e-06,6.8e-07,0.998108
1.2e-06,6.8e-07,0.99811
1.205e-06,6.8e-07,0.99811
1.21e-06,6.8e-07,0.998111
1.215e-06,6.8e-07,0.998111
1.22e-06,6.8e-07,0.998112
1.225e-06,6.8e-07,0.998112
1.19e-06,6.85e-07,0.99811
1.195e-06,6.85e-07,0.998113
1.2e-06,6.85e-07,0.998111
1.205e-06,6.85e-07,0.998114
1.21e-06,6.85e-07,0.998113
1.215e-06,6.85e-07,0.998115
1.22e-06,6.85e-07,0.998114
1.225e-06,6.85e-07,0.998117
