File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1e-006 5.5e-007.mat,1e-06,5.5e-07,0.6135585071464564
E_field_data_1.4e-006 4e-007.mat,1.4e-06,4e-07,0.5402889441136745
E_field_data_1.4e-006 5e-007.mat,1.4e-06,5e-07,0.6019448540313042
E_field_data_1.25e-006 3e-007.mat,1.25e-06,3e-07,0.4682780841795853
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.6361377070024428
E_field_data_1.05e-006 1.05e-006.mat,1.05e-06,1.05e-06,0.7580541070978906
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.6694035559817606
E_field_data_1.5e-006 3e-007.mat,1.5e-06,3e-07,0.46847565499656457
E_field_data_1.1e-006 1.15e-006.mat,1.1e-06,1.15e-06,0.6382735255527133
E_field_data_1.2e-006 5.5e-007.mat,1.2e-06,5.5e-07,0.6166681525725382
E_field_data_1.15e-006 1.05e-006.mat,1.15e-06,1.05e-06,0.7587562600581267
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.6912137590628075
E_field_data_1.4e-006 1.05e-006.mat,1.4e-06,1.05e-06,0.7640247512111615
E_field_data_1.25e-006 1.1e-006.mat,1.25e-06,1.1e-06,0.7641623605762823
E_field_data_1.35e-006 4.5e-007.mat,1.35e-06,4.5e-07,0.5763974024054664
E_field_data_1.2e-006 8.5e-007.mat,1.2e-06,8.5e-07,0.7094201038638844
E_field_data_1.5e-006 9e-007.mat,1.5e-06,9e-07,0.7296051354895347
E_field_data_1.5e-006 8e-007.mat,1.5e-06,8e-07,0.7006443872440655
E_field_data_1.25e-006 9e-007.mat,1.25e-06,9e-07,0.7285340452506622
E_field_data_1.25e-006 8e-007.mat,1.25e-06,8e-07,0.6984512416428125
E_field_data_1.25e-006 1.05e-006.mat,1.25e-06,1.05e-06,0.761061408113998
E_field_data_1e-006 8.5e-007.mat,1e-06,8.5e-07,0.7052699870451343
E_field_data_1.3e-006 1.25e-006.mat,1.3e-06,1.25e-06,0.7847810897190268
E_field_data_1.5e-006 1.1e-006.mat,1.5e-06,1.1e-06,0.7683096155600257
E_field_data_1.35e-006 9.5e-007.mat,1.35e-06,9.5e-07,0.7329513732662998
E_field_data_1.45e-006 1e-006.mat,1.45e-06,1e-06,0.7434587786161256
E_field_data_1.5e-006 7.5e-007.mat,1.5e-06,7.5e-07,0.6931291705623118
E_field_data_1.35e-006 1.05e-006.mat,1.35e-06,1.05e-06,0.7630320694095856
E_field_data_1.05e-006 1e-006.mat,1.05e-06,1e-06,0.7347122651854044
E_field_data_1.45e-006 8.5e-007.mat,1.45e-06,8.5e-07,0.7125617534951822
E_field_data_1.05e-006 9.5e-007.mat,1.05e-06,9.5e-07,0.7264116497175027
E_field_data_1e-006 9e-007.mat,1e-06,9e-07,0.7183435652060436
E_field_data_1e-006 8e-007.mat,1e-06,8e-07,0.6932616194122457
E_field_data_1.3e-006 5.5e-007.mat,1.3e-06,5.5e-07,0.617109082999046
E_field_data_1.1e-006 1e-006.mat,1.1e-06,1e-06,0.7378032410218474
E_field_data_1.1e-006 1.1e-006.mat,1.1e-06,1.1e-06,0.7648636781775325
E_field_data_1.2e-006 8e-007.mat,1.2e-06,8e-07,0.6980047122473482
E_field_data_1.2e-006 9e-007.mat,1.2e-06,9e-07,0.7257219602930621
E_field_data_1.45e-006 1.05e-006.mat,1.45e-06,1.05e-06,0.7653701760569951
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.6880473769937612
E_field_data_1.35e-006 5e-007.mat,1.35e-06,5e-07,0.6018017708814589
E_field_data_1.35e-006 4e-007.mat,1.35e-06,4e-07,0.5401911135089634
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.689459147630666
E_field_data_1.3e-006 8.5e-007.mat,1.3e-06,8.5e-07,0.7114485394250465
E_field_data_1e-006 3e-007.mat,1e-06,3e-07,0.46746138109764057
E_field_data_1.05e-006 4.5e-007.mat,1.05e-06,4.5e-07,0.573906983130645
E_field_data_1.15e-006 1.1e-006.mat,1.15e-06,1.1e-06,0.7606703792824341
E_field_data_1.45e-006 5.5e-007.mat,1.45e-06,5.5e-07,0.6173556598527404
E_field_data_1.4e-006 1.1e-006.mat,1.4e-06,1.1e-06,0.7673110645021102
E_field_data_1.2e-006 3e-007.mat,1.2e-06,3e-07,0.46822613146694053
E_field_data_1.4e-006 7.5e-007.mat,1.4e-06,7.5e-07,0.6925984964842119
E_field_data_1.2e-006 1.15e-006.mat,1.2e-06,1.15e-06,0.7741752337273836
E_field_data_1.3e-006 5e-007.mat,1.3e-06,5e-07,0.6002645826613403
E_field_data_1.3e-006 4e-007.mat,1.3e-06,4e-07,0.5400866915787398
E_field_data_1.25e-006 5.5e-007.mat,1.25e-06,5.5e-07,0.6166720675778276
E_field_data_1.5e-006 8.5e-007.mat,1.5e-06,8.5e-07,0.7128022926463584
E_field_data_1.1e-006 1.05e-006.mat,1.1e-06,1.05e-06,0.7575306942102756
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.6349301941555817
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.6686784951134449
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.6554143353049813
E_field_data_1.05e-006 1.15e-006.mat,1.05e-06,1.15e-06,0.7751720478684091
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.6849550327261882
E_field_data_1.3e-006 8e-007.mat,1.3e-06,8e-07,0.6990038601562748
E_field_data_1.3e-006 9e-007.mat,1.3e-06,9e-07,0.7272986569611368
E_field_data_1.05e-006 3.5e-007.mat,1.05e-06,3.5e-07,0.513336361238014
E_field_data_1.4e-006 1.15e-006.mat,1.4e-06,1.15e-06,0.7786976173524105
E_field_data_1.2e-006 1.1e-006.mat,1.2e-06,1.1e-06,0.764422079759681
E_field_data_1.15e-006 1.15e-006.mat,1.15e-06,1.15e-06,0.7762786933446243
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.6674212997164942
E_field_data_1e-006 1.1e-006.mat,1e-06,1.1e-06,0.7606811174688025
E_field_data_1.35e-006 3e-007.mat,1.35e-06,3e-07,0.4685333638241211
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.6347231984343678
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.6900027321051477
E_field_data_1.25e-006 1.15e-006.mat,1.25e-06,1.15e-06,0.7767455264197268
E_field_data_1.25e-006 8.5e-007.mat,1.25e-06,8.5e-07,0.7104152646503263
E_field_data_1.5e-006 5.5e-007.mat,1.5e-06,5.5e-07,0.6176406967347983
E_field_data_1e-006 4e-007.mat,1e-06,4e-07,0.5382130381125552
E_field_data_1e-006 5e-007.mat,1e-06,5e-07,0.5979466461308626
E_field_data_1.35e-006 1.2e-006.mat,1.35e-06,1.2e-06,0.7797837385832018
E_field_data_1.35e-006 1.3e-006.mat,1.35e-06,1.3e-06,0.7959255820441773
E_field_data_1.2e-006 5e-007.mat,1.2e-06,5e-07,0.6011552543087981
E_field_data_1.2e-006 4e-007.mat,1.2e-06,4e-07,0.5398568282570818
E_field_data_1.35e-006 1.15e-006.mat,1.35e-06,1.15e-06,0.7784146632404125
E_field_data_1.35e-006 8e-007.mat,1.35e-06,8e-07,0.6998102799596654
E_field_data_1.35e-006 9e-007.mat,1.35e-06,9e-07,0.7284053065373394
E_field_data_1.3e-006 3e-007.mat,1.3e-06,3e-07,0.4683558652959571
E_field_data_1.4e-006 3e-007.mat,1.4e-06,3e-07,0.4683200527675638
E_field_data_1.25e-006 4e-007.mat,1.25e-06,4e-07,0.5399709551026481
E_field_data_1.25e-006 5e-007.mat,1.25e-06,5e-07,0.5981256088574144
E_field_data_1.4e-006 8.5e-007.mat,1.4e-06,8.5e-07,0.7144673322702648
E_field_data_1.1e-006 5.5e-007.mat,1.1e-06,5.5e-07,0.6154289844787743
E_field_data_1.5e-006 4e-007.mat,1.5e-06,4e-07,0.5403561196624973
E_field_data_1.5e-006 5e-007.mat,1.5e-06,5e-07,0.6020389768723784
E_field_data_1e-006 1.25e-006.mat,1e-06,1.25e-06,0.7771324348677932
E_field_data_1.45e-006 1.15e-006.mat,1.45e-06,1.15e-06,0.7798956216195472
E_field_data_1.3e-006 1.1e-006.mat,1.3e-06,1.1e-06,0.7658912780036543
E_field_data_1.05e-006 1.3e-006.mat,1.05e-06,1.3e-06,0.7893889588430333
E_field_data_1.5e-006 1.25e-006.mat,1.5e-06,1.25e-06,0.7885648957297222
