File,Width (m),Thickness (m),Confinement Factor (1D Z)
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.7059476172274052
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.7368323532657036
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.749980358044247
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.7497157281723743
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.750026075316814
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.7056696109235603
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.7368685109635449
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.7142645455815838
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.7499893949137283
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.7365283894222471
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.705879509450872
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.7499930121030536
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.7500100390112547
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.7142500379676411
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.7142709693576431
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.7295557518101552
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.7368414131897442
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.7143420078848011
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.705774830103018
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.7367555969333306
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.7139502759853568
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.7142566649675073
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.7368217613198454
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.7058236647635251
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.7500156197146087
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.750005790565577
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.7368237252417601
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.7058517979219495
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.7058388801658254
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.736821972446994
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.7141974157868677
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.7142765802236951
