File,Width (m),Thickness (m),Confinement Factor (2D)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.7447352029911817
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.7273654369100947
E_field_data_1.25e-006 7.15e-007.mat,1.25e-06,7.15e-07,0.7586530255171109
E_field_data_1.23e-006 7.2e-007.mat,1.23e-06,7.2e-07,0.748387764027284
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.7508416163016709
E_field_data_1.23e-006 7.05e-007.mat,1.23e-06,7.05e-07,0.7555898006207081
E_field_data_1.23e-006 6.95e-007.mat,1.23e-06,6.95e-07,0.7494790339116442
E_field_data_1.2e-006 7.3e-007.mat,1.2e-06,7.3e-07,0.7500634888706773
E_field_data_1.2e-006 7.2e-007.mat,1.2e-06,7.2e-07,0.747536502239245
E_field_data_1.19e-006 7.25e-007.mat,1.19e-06,7.25e-07,0.7482439220297349
E_field_data_1.24e-006 7.25e-007.mat,1.24e-06,7.25e-07,0.7504361155491766
E_field_data_1.2e-006 6.95e-007.mat,1.2e-06,6.95e-07,0.7479186970523393
E_field_data_1.22e-006 7.3e-007.mat,1.22e-06,7.3e-07,0.7505930376325327
E_field_data_1.22e-006 7.2e-007.mat,1.22e-06,7.2e-07,0.7482038339454286
E_field_data_1.2e-006 7.05e-007.mat,1.2e-06,7.05e-07,0.7545896681169202
E_field_data_1.21e-006 7e-007.mat,1.21e-06,7e-07,0.7492288696935911
E_field_data_1.22e-006 7.25e-007.mat,1.22e-06,7.25e-07,0.7497899834504314
E_field_data_1.24e-006 7.2e-007.mat,1.24e-06,7.2e-07,0.7486439532145547
E_field_data_1.24e-006 7.3e-007.mat,1.24e-06,7.3e-07,0.7512344474343813
E_field_data_1.25e-006 7.05e-007.mat,1.25e-06,7.05e-07,0.7564177012542764
E_field_data_1.25e-006 6.95e-007.mat,1.25e-06,6.95e-07,0.7501704045747191
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.7504067319409236
E_field_data_1.21e-006 7.2e-007.mat,1.21e-06,7.2e-07,0.7477863039215217
E_field_data_1.23e-006 7.15e-007.mat,1.23e-06,7.15e-07,0.75797124145308
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.7515171244767282
E_field_data_1.25e-006 7.2e-007.mat,1.25e-06,7.2e-07,0.7490470850676735
E_field_data_1.2e-006 7.15e-007.mat,1.2e-06,7.15e-07,0.757046103484932
E_field_data_1.21e-006 7.25e-007.mat,1.21e-06,7.25e-07,0.7496013869370566
E_field_data_1.22e-006 7.15e-007.mat,1.22e-06,7.15e-07,0.7577757944367383
E_field_data_1.22e-006 6.9e-007.mat,1.22e-06,6.9e-07,0.7476614581547472
E_field_data_1.22e-006 7.1e-007.mat,1.22e-06,7.1e-07,0.7455548309056946
E_field_data_1.23e-006 7e-007.mat,1.23e-06,7e-07,0.750358715126564
E_field_data_1.2e-006 7.1e-007.mat,1.2e-06,7.1e-07,0.7449566428265992
E_field_data_1.2e-006 6.9e-007.mat,1.2e-06,6.9e-07,0.7340686960866933
E_field_data_1.19e-006 7.05e-007.mat,1.19e-06,7.05e-07,0.7543332657067
E_field_data_1.23e-006 6.9e-007.mat,1.23e-06,6.9e-07,0.7483780421140406
E_field_data_1.23e-006 7.1e-007.mat,1.23e-06,7.1e-07,0.7459157681156864
E_field_data_1.23e-006 7.25e-007.mat,1.23e-06,7.25e-07,0.750040794781982
E_field_data_1.19e-006 6.95e-007.mat,1.19e-06,6.95e-07,0.7473934949173344
E_field_data_1.24e-006 6.95e-007.mat,1.24e-06,6.95e-07,0.7499721216086824
E_field_data_1.21e-006 7.15e-007.mat,1.21e-06,7.15e-07,0.7573347231185118
E_field_data_1.2e-006 7.25e-007.mat,1.2e-06,7.25e-07,0.7492539818250885
E_field_data_1.24e-006 7e-007.mat,1.24e-06,7e-07,0.7508477890460216
E_field_data_1.19e-006 7.2e-007.mat,1.19e-06,7.2e-07,0.7472710411126592
E_field_data_1.19e-006 7e-007.mat,1.19e-06,7e-07,0.7482890116307344
E_field_data_1.19e-006 7.3e-007.mat,1.19e-06,7.3e-07,0.7490529638721942
E_field_data_1.24e-006 7.05e-007.mat,1.24e-06,7.05e-07,0.7560267036896241
E_field_data_1.22e-006 6.95e-007.mat,1.22e-06,6.95e-07,0.748897618686205
E_field_data_1.22e-006 7.05e-007.mat,1.22e-06,7.05e-07,0.7552151966029168
