File,Width (m),Thickness (m),Confinement Factor (1D - along Y)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.9753647768920538
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.9803133500105518
E_field_data_1.25e-006 7.15e-007.mat,1.25e-06,7.15e-07,0.9770033079766605
E_field_data_1.23e-006 7.2e-007.mat,1.23e-06,7.2e-07,0.9770127005171925
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.9770916009592293
E_field_data_1.23e-006 7.05e-007.mat,1.23e-06,7.05e-07,0.9760778297094806
E_field_data_1.23e-006 6.95e-007.mat,1.23e-06,6.95e-07,0.9741804885783077
E_field_data_1.2e-006 7.3e-007.mat,1.2e-06,7.3e-07,0.9761687972659451
E_field_data_1.2e-006 7.2e-007.mat,1.2e-06,7.2e-07,0.9759800755027835
E_field_data_1.19e-006 7.25e-007.mat,1.19e-06,7.25e-07,0.9746353848362239
E_field_data_1.24e-006 7.25e-007.mat,1.24e-06,7.25e-07,0.9764108218444084
E_field_data_1.2e-006 6.95e-007.mat,1.2e-06,6.95e-07,0.9723755834240578
E_field_data_1.22e-006 7.3e-007.mat,1.22e-06,7.3e-07,0.9768283722494623
E_field_data_1.22e-006 7.2e-007.mat,1.22e-06,7.2e-07,0.9766003363136153
E_field_data_1.2e-006 7.05e-007.mat,1.2e-06,7.05e-07,0.9745852737677707
E_field_data_1.21e-006 7e-007.mat,1.21e-06,7e-07,0.9742145297629438
E_field_data_1.22e-006 7.25e-007.mat,1.22e-06,7.25e-07,0.9757832463653264
E_field_data_1.24e-006 7.2e-007.mat,1.24e-06,7.2e-07,0.9775156174823327
E_field_data_1.24e-006 7.3e-007.mat,1.24e-06,7.3e-07,0.9774500744284216
E_field_data_1.25e-006 7.05e-007.mat,1.25e-06,7.05e-07,0.9772145275422984
E_field_data_1.25e-006 6.95e-007.mat,1.25e-06,6.95e-07,0.9752167979802477
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.9765521170572887
E_field_data_1.21e-006 7.2e-007.mat,1.21e-06,7.2e-07,0.9762487302658862
