Width (m),Thickness (m),Transmission
1e-06,6e-07,0.996376
1.05e-06,6e-07,0.996425
1.1e-06,6e-07,0.996473
1.15e-06,6e-07,0.996528
1.2e-06,6e-07,0.996565
1.25e-06,6e-07,0.996577
1.3e-06,6e-07,0.996591
1.35e-06,6e-07,0.996608
1e-06,6.5e-07,0.997072
1.05e-06,6.5e-07,0.997122
1.1e-06,6.5e-07,0.997163
1.15e-06,6.5e-07,0.997207
1.2e-06,6.5e-07,0.997237
1.25e-06,6.5e-07,0.997249
1.3e-06,6.5e-07,0.997265
1.35e-06,6.5e-07,0.997277
1e-06,7e-07,0.996895
1.05e-06,7e-07,0.996936
1.1e-06,7e-07,0.996984
1.15e-06,7e-07,0.997036
1.2e-06,7e-07,0.997061
1.25e-06,7e-07,0.997069
1.3e-06,7e-07,0.997083
1.35e-06,7e-07,0.997101
1e-06,7.5e-07,0.997095
1.05e-06,7.5e-07,0.997142
1.1e-06,7.5e-07,0.997209
1.15e-06,7.5e-07,0.997233
1.2e-06,7.5e-07,0.997246
1.25e-06,7.5e-07,0.997264
1.3e-06,7.5e-07,0.997293
1.35e-06,7.5e-07,0.99732
