File,Width (m),Thickness (m),Confinement Factor (1D)
E_field_data_1.15e-006 6e-007.mat,1.15e-06,6e-07,0.7078157557771161
E_field_data_1.15e-006 7e-007.mat,1.15e-06,7e-07,0.7076159764855204
E_field_data_1.25e-006 7.5e-007.mat,1.25e-06,7.5e-07,0.708211081179206
E_field_data_1.1e-006 7.5e-007.mat,1.1e-06,7.5e-07,0.7075661862738675
E_field_data_1.15e-006 7.5e-007.mat,1.15e-06,7.5e-07,0.7078786032426295
E_field_data_1.1e-006 6e-007.mat,1.1e-06,6e-07,0.7074718046911098
E_field_data_1.1e-006 7e-007.mat,1.1e-06,7e-07,0.707272116637259
E_field_data_1.35e-006 6.5e-007.mat,1.35e-06,6.5e-07,0.7207228604211308
E_field_data_1e-006 7.5e-007.mat,1e-06,7.5e-07,0.7067545616222926
E_field_data_1.05e-006 7e-007.mat,1.05e-06,7e-07,0.7069524823556786
E_field_data_1.05e-006 6e-007.mat,1.05e-06,6e-07,0.707114513063498
E_field_data_1.2e-006 7.5e-007.mat,1.2e-06,7.5e-07,0.7080720315089708
E_field_data_1.3e-006 7.5e-007.mat,1.3e-06,7.5e-07,0.7083324246738434
E_field_data_1.05e-006 6.5e-007.mat,1.05e-06,6.5e-07,0.7191339617490039
E_field_data_1.1e-006 6.5e-007.mat,1.1e-06,6.5e-07,0.7196435962127786
E_field_data_1.3e-006 6e-007.mat,1.3e-06,6e-07,0.7084831043246586
E_field_data_1.3e-006 7e-007.mat,1.3e-06,7e-07,0.7082375454033305
E_field_data_1.15e-006 6.5e-007.mat,1.15e-06,6.5e-07,0.7198491887733044
E_field_data_1.35e-006 6e-007.mat,1.35e-06,6e-07,0.7086802078528059
E_field_data_1.35e-006 7e-007.mat,1.35e-06,7e-07,0.7084059136750946
E_field_data_1.25e-006 6.5e-007.mat,1.25e-06,6.5e-07,0.7203538018202293
E_field_data_1.3e-006 6.5e-007.mat,1.3e-06,6.5e-07,0.7206637722727683
E_field_data_1.25e-006 7e-007.mat,1.25e-06,7e-07,0.7080814982106937
E_field_data_1.25e-006 6e-007.mat,1.25e-06,6e-07,0.7083056241517045
E_field_data_1.05e-006 7.5e-007.mat,1.05e-06,7.5e-07,0.7071559714912503
E_field_data_1.35e-006 7.5e-007.mat,1.35e-06,7.5e-07,0.7084292591618747
E_field_data_1e-006 7e-007.mat,1e-06,7e-07,0.7065410709796832
E_field_data_1e-006 6e-007.mat,1e-06,6e-07,0.7066051151697931
E_field_data_1.2e-006 6e-007.mat,1.2e-06,6e-07,0.7080515268519714
E_field_data_1.2e-006 7e-007.mat,1.2e-06,7e-07,0.7078529146443046
E_field_data_1.2e-006 6.5e-007.mat,1.2e-06,6.5e-07,0.7202365653743471
E_field_data_1e-006 6.5e-007.mat,1e-06,6.5e-07,0.7187689809770721
