File,Width (m),Thickness (m),Confinement Factor (1D)
E_field_data_1.19e-006 7.1e-007.mat,1.19e-06,7.1e-07,0.6912876231115714
E_field_data_1.19e-006 6.9e-007.mat,1.19e-06,6.9e-07,0.7026014613983548
E_field_data_1.25e-006 7.15e-007.mat,1.25e-06,7.15e-07,0.6977919595094216
E_field_data_1.23e-006 7.2e-007.mat,1.23e-06,7.2e-07,0.6990740300413234
E_field_data_1.23e-006 7.3e-007.mat,1.23e-06,7.3e-07,0.6943059431255834
E_field_data_1.23e-006 7.05e-007.mat,1.23e-06,7.05e-07,0.6900706773094333
E_field_data_1.23e-006 6.95e-007.mat,1.23e-06,6.95e-07,0.6927376637428896
E_field_data_1.2e-006 7.3e-007.mat,1.2e-06,7.3e-07,0.694182338835311
E_field_data_1.2e-006 7.2e-007.mat,1.2e-06,7.2e-07,0.6989592534954138
E_field_data_1.19e-006 7.25e-007.mat,1.19e-06,7.25e-07,0.6927741882110875
E_field_data_1.24e-006 7.25e-007.mat,1.24e-06,7.25e-07,0.692993299021563
E_field_data_1.2e-006 6.95e-007.mat,1.2e-06,6.95e-07,0.6926126981354914
E_field_data_1.22e-006 7.3e-007.mat,1.22e-06,7.3e-07,0.6942704763452745
E_field_data_1.22e-006 7.2e-007.mat,1.22e-06,7.2e-07,0.6990144153345657
E_field_data_1.2e-006 7.05e-007.mat,1.2e-06,7.05e-07,0.6899040206463303
E_field_data_1.21e-006 7e-007.mat,1.21e-06,7e-07,0.6940932056234834
E_field_data_1.22e-006 7.25e-007.mat,1.22e-06,7.25e-07,0.6929153449084647
E_field_data_1.24e-006 7.2e-007.mat,1.24e-06,7.2e-07,0.6991314666692113
E_field_data_1.24e-006 7.3e-007.mat,1.24e-06,7.3e-07,0.6943448090593654
E_field_data_1.25e-006 7.05e-007.mat,1.25e-06,7.05e-07,0.6901505462252483
E_field_data_1.25e-006 6.95e-007.mat,1.25e-06,6.95e-07,0.6927333511230694
E_field_data_1.21e-006 7.3e-007.mat,1.21e-06,7.3e-07,0.6942280514180864
E_field_data_1.21e-006 7.2e-007.mat,1.21e-06,7.2e-07,0.6989926723376653
E_field_data_1.23e-006 7.15e-007.mat,1.23e-06,7.15e-07,0.697676426564513
E_field_data_1.25e-006 7.3e-007.mat,1.25e-06,7.3e-07,0.6943772836093307
E_field_data_1.25e-006 7.2e-007.mat,1.25e-06,7.2e-07,0.699186765207026
E_field_data_1.2e-006 7.15e-007.mat,1.2e-06,7.15e-07,0.6975571201939273
E_field_data_1.21e-006 7.25e-007.mat,1.21e-06,7.25e-07,0.6928710575734909
E_field_data_1.22e-006 7.15e-007.mat,1.22e-06,7.15e-07,0.6976153534088101
E_field_data_1.22e-006 6.9e-007.mat,1.22e-06,6.9e-07,0.6886040891080978
E_field_data_1.22e-006 7.1e-007.mat,1.22e-06,7.1e-07,0.6914578994104071
E_field_data_1.23e-006 7e-007.mat,1.23e-06,7e-07,0.6942018676062633
E_field_data_1.2e-006 7.1e-007.mat,1.2e-06,7.1e-07,0.6913358716562301
E_field_data_1.2e-006 6.9e-007.mat,1.2e-06,6.9e-07,0.6962901494144489
E_field_data_1.19e-006 7.05e-007.mat,1.19e-06,7.05e-07,0.6898547386084621
E_field_data_1.23e-006 6.9e-007.mat,1.23e-06,6.9e-07,0.6886485720676981
